TITLE;AUTHOR;RATE;AVAILABILITY;BOOKTYPE;PRICE
LOS SEÑORES DE LA INSTRUMENTALIDAD IV: EN BUSCA DE TRES MUNDOS;['CORDWAINER SMITH'];None;False;--;--
DIARIOS DE LAS ESTRELLAS;['STANISLAW LEM'];9;False;--;--
EDEN;['STANISLAW LEM'];6;False;--;--
CONGRESO DE FUTUROLOGIA;['STANISLAW LEM'];10;False;--;--
ILION (II): LA REBELION;['DAN SIMMONS'];10;False;--;--
SOY LEYENDA;['RICHARD MATHESON'];None;False;--;--
CONDE CERO;['WILLIAM GIBSON'];7;False;--;--
POR NO MENCIONAR AL PERRO;['CONNIE WILLIS'];None;False;--;--
CANTICO POR LEIBOWITZ;['WALTER M. MILLER'];8;False;--;--
EL MUNDO SUMERGIDO;['J.G. BALLARD'];8;False;--;--
EL NOMBRE DEL MUNDO ES BOSQUE;['URSULA K. LEGUIN'];9;False;--;--
LA CONFUSION (VOL. II);['NEAL STEPHENSON'];None;False;--;--
BARRAYAR;['LOIS MCMASTER BUJOLD'];10;False;--;--
RIMRUNNERS;['C.J. CHERRYH'];None;False;--;--
FUNDACION Y CAOS;['GREG BEAR'];6;False;--;--
OVEJA MANSA;['CONNIE WILLIS'];None;False;--;--
LA SOMBRA DEL HEGEMON;['ORSON SCOTT CARD'];10;False;--;--
MENDIGOS EN ESPAÑA;['KRESS. NANCY', 'NANCY KRESS'];None;False;--;--
MARIONETAS DE LA SOMBRA;['ORSON SCOTT CARD'];None;False;--;--
CIBERIADA;['STANISLAW LEM'];None;False;--;--
LA GUERRA DE LOS MUNDOS;['HERBERT GEORGE WELLS'];8;False;--;--
HIJOS DE LA MENTE;['ORSON SCOTT CARD'];None;False;--;--
FIASCO;['STANISLAW LEM'];8;False;--;--
RETORNO A LAS ESTRELLAS;['STANISLAW LEM'];10;False;--;--
RELATOS DEL PILOTO PIRX;['STANISLAW LEM'];None;False;--;--
PORTICO;['FREDERIK POHL'];None;False;--;--
ANOCHECER;['ISAAC ASIMOV'];8;False;--;--
YO, ROBOT;['ISAAC ASIMOV'];7;False;--;--
EL HOMBRE TERMINAL;['MICHAEL CRICHTON'];6;False;--;--
EL PAIS DEL FIN DEL MUNDO;['TERRY PRATCHETT'];8;False;--;--
LA PATINA DEL TIEMPO Y OTROS RELATOS;['HENRY JAMES'];10;False;--;--
IRAS CELESTIALES: (UNA INVESTIGACION DE DIRK GENTLY);['DOUGLAS ADAMS'];10;False;--;--
EL ARCHIVO DE LOS VIUDOS NEGROS;['ISAAC ASIMOV'];None;False;--;--
LA NARANJA MECANICA;['ANTHONY BURGESS'];7;False;--;--
CIUDAD;['CLIFFORD SIMARK'];9;False;--;--
LOS SEÑORES DE LA INSTRUMENTALIDAD II: LA DAMA MUERTA DE CLOWN TWON;['CORDWAINER SMITH'];None;False;--;--
JUAN RARO;['OLAF STAPLEDON'];10;False;--;--
EL HOMBRE DEMOLIDO (PREMIO HUGO 1953);['ALFRED BESTER'];4;False;--;--
LA AFIRMACION;['CHRISTOPHER PRIEST'];None;False;--;--
PORTICO;['FREDERIK POHL'];8;False;--;--
ODISEA;['MICHAEL KUBE-MCDOWELL'];None;False;--;--
EL EXPERIMENTO NOBEL;['RICHARD COX'];None;False;--;--
YO, ROBOT (2ª ED.);['ISAAC ASIMOV'];None;False;--;--
LOS ANALES DE LOS HEECHEE ( LA SAGA DE LOS HEECHEE 4);['FREDERIK POHL'];7;False;--;--
LA PUERTA AL PAIS DE LAS MUJERES;['SHERI S. TEPPER'];None;False;--;--
EL OJO DEL FUEGO;['LEWIS PERDUE'];None;False;--;--
EL JUEGO DE ENDER;['ORSON SCOTT CARD'];8;False;--;--
TRAS EL INCIERTO HORIZONTE: LA SAGA DE LOS HEECHEE 2;['FREDERIK POHL'];8;False;--;--
EL DIA DE LOS TRIFIDOS (BOOKET ESPECIAL NAVIDAD 2007);['JOHN WYNDHAM'];8;False;--;--
LA ERA DEL DIAMANTE;['NEAL STEPHENSON'];9;False;--;--
FAHRENHEIT 451;['RAY BRADBURY'];8;False;--;--
EL PROFETA ROJO (ALVIN MAKER II);['ORSON SCOTT CARD'];None;False;--;--
LA LUNA Y EL SOL;['VONDA N. MCINTYRE'];None;False;--;--
LA RADIO DE DARWIN;['GREG BEAR'];None;False;--;--
HERMANOS DE ARMAS: AVENTURAS DE MILES VORKOSIGAN;['LOIS MCMASTER BUJOLD'];None;False;--;--
LA BELLA DURMIENTE;['SHERI S. TEPPER'];None;False;--;--
BARRAYAR;['LOIS MCMASTER BUJOLD'];None;False;--;--
ILION (I): EL ASEDIO;['DAN SIMMONS'];10;False;--;--
¿SUEÑAN LOS ANDROIDES CON OVEJAS ELECTRICAS?: BLADE RUNNER;['PHILIP K. DICK'];9;False;--;--
LA GUERRA DE LOS MUNDOS;['H.G. WELLS'];7;False;--;--
SANTIAGO: UN MITO DEL FUTURO LEJANO;['MIKE RESNICK'];None;False;--;--
GERANIUM 2204;['GONZALO MOURE'];None;False;--;--
SERES SECRETOS;['ANTONIO MORENO VÍLCHEZ'];None;True;Tapa blanda;12.35
LA NOVENA RAZA. ÁYOREL;['LAURA FD COX'];None;True;Tapa blanda;18.9
CLARO DE TIERRA;['ARTHUR C. CLARKE'];None;False;--;--
HASTA LUEGO, Y GRACIAS POR EL PESCADO (2ª ED.);['DOUGLAS ADAMS'];10;False;--;--
ATLANTIS;['DAVID GIBBINS'];None;False;--;--
MAS ALLA DEL PLANETA SILENCIOSO;['CLIVE STAPLES LEWIS'];None;False;--;--
ESA HORRIBLE FORTALEZA (TRILOGIA COSMICA III);['C.S. LEWIS'];None;False;--;--
BOVEDAS DE ACERO;['ISAAC ASIMOV'];9;False;--;--
MAESTRO CANTOR;['ORSON SCOTT CARD'];9;False;--;--
CUENTOS COMPLETOS I;['ISAAC ASIMOV'];7;False;--;--
EL TEMPLO DE LA LUNA;['FERNANDO J. LOPEZ DEL OSO'];10;True;Tapa blanda;8.5
EL SUEÑO DEL ANDROIDE;['JOHN SCALZI'];8;False;--;--
HIJOS DE LA MENTE;['ORSON SCOTT CARD'];7;False;--;--
LA SOMBRA DEL GIGANTE;['ORSON SCOTT CARD'];7;False;--;--
LOS VIAJES DE TUF;['GEORGE R.R. MARTIN'];8;False;--;--
PANTEON;['CARLOS SISI'];8;False;--;--
CRIOPOLIS;['LOIS MCMASTER BUJOLD'];None;False;--;--
ENVIADOS / THE MISSING II;['MARGARET PETERSON HADDIX'];None;False;--;--
SOMBRAS EN FUGA;['ORSON SCOTT CARD'];None;False;--;--
LA TIERRA EN LLAMAS (PRIMERA GUERRA FORMICA VOL. II);['ORSON SCOTT CARD'];8;False;--;--
EL APAGÓN;['CONNIE WILLIS'];9;False;--;--
LA CAIDA DE LUCIFER CRONICA DE HERMANOS I;['WENDY ALEC'];None;False;--;--
EL PASAJE;['JUSTIN CRONIN'];8;False;--;--
GUERRA DE REGALOS;['ORSON SCOTT CARD'];None;False;--;--
FUNDACION Y CAOS;['GREG BEAR'];None;False;--;--
LA PAJA EN EL OJO DE DIOS;['LARRY NIVEN', 'JERRY POURNELLE'];6;False;--;--
GUIA DEL AUTOESTOPISTA GALACTICO (6ª ED.);['DOUGLAS ADAMS'];8;False;--;--
BLADE RUNNER;['PHILIP K. DICK'];6;False;--;--
SOY LEYENDA;['RICHARD MATHESON'];9;False;--;--
CUENTOS COMPLETOS II;['ISAAC ASIMOV'];6;False;--;--
MEG LA FOSA;['STEVE ALTEN'];None;False;--;--
BONESHAKER;['CHERIE PRIEST'];6;False;--;--
SEMILLAS AMARGAS (TRÍPTICO DE ASCLEPIA 1);['IAN TREGILLIS'];None;False;--;--
UN MAL NECESARIO (TRÍPTICO DE ASCLEPIA 3);['IAN TREGILLIS'];None;False;--;--
ALVIN EL APRENDIZ;['ORSON SCOTT CARD'];None;False;--;--
LA TIERRA DESPREVENIDA;['ORSON SCOTT CARD', 'AARON JOHNSTON'];8;False;--;--
EL SEPTIMO HIJO (SAGA ALVIN MAKER 1);['ORSON SCOTT CARD'];None;False;--;--
INFORME SOBRE LA TIERRA: FUNDAMENTALMENTE INOFENSIVA;['DOUGLAS ADAMS'];None;True;Tapa blanda;9.4
INFORME SOBRE LA TIERRA: FUNDAMENTALMENTE INOFENSIVA;['DOUGLAS ADAMS'];None;True;eBook;5.69
INGENIEROS DE MUNDO ANILLO;['LARRY NIVEN'];None;False;--;--
EL PODER;['NAOMI ALDERMAN'];None;False;--;--
LAS TORRES DEL OLVIDO;['GEORGE TURNER'];None;False;--;--
ALVIN EL OFICIAL (SAGA ALVIN MAKER 4);['ORSON SCOTT CARD'];None;True;Tapa blanda;9.5
ALVIN EL OFICIAL (SAGA ALVIN MAKER 4);['ORSON SCOTT CARD'];None;True;eBook;2.84
LAMPARA DE NOCHE (EDICION OMNIUM);['JACK VANCE'];None;True;Bolsillo;7.6
EL PROFETA ROJO;['ORSON SCOTT CARD'];None;True;Tapa blanda;7.6
EL PROFETA ROJO;['ORSON SCOTT CARD'];None;True;eBook;2.84
CUENTOS COMPLETOS I;['ISAAC ASIMOV'];8;False;--;--
LA FARSA I LA QUIMERA;['JOAN PUIG I FERRETER'];None;True;Tapa blanda;10.35
LA FARSA I LA QUIMERA;['JOAN PUIG I FERRETER'];None;True;eBook;4.74
LAGRIMAS DE LUZ (ED. BOLSILLO);['RAFAEL MARIN'];6;False;--;--
LO MEJOR DE LOS PREMIOS NEBULA 2;['VV.AA.'];None;False;--;--
DARKOVER III: LA HERRENCIA DE LOS HASTUR;['MARION ZIMMER BRADLEY'];None;False;--;--
DARKOVER IV: LA CADENA ROTA;['MARION ZIMMER BRADLEY'];None;False;--;--
EL OJO DE LA GARZA;['URSULA K. LE GUIN'];None;False;--;--
EL CALCULO DE DIOS;['ROBERT J. SAWYER'];9;False;--;--
EL MISTERIO DE LA VIRGEN DE GUADALUPE;['J.J. BENITEZ'];9;False;--;--
LA VELOCIDAD DE LA OSCURIDAD (PREMIO NEBULA 2004);['ELIZABETH MOON'];None;False;--;--
LA CIUDAD DE CRISTAL;['ORSON SCOTT CARD'];None;False;--;--
LO MEJOR DE LOS PREMIOS NEBULA I;['WOLE SOYINKA'];None;False;--;--
UNA LUZ EXTRAÑA;['NANCY KRESS'];None;False;--;--
LA NAVE DE UN MILLON DE AÑOS;['POUL ANDERSON'];4;False;--;--
LA QUINTA COLUMNA;['J.J. BENITEZ'];8;False;--;--
NAHUM (CABALLO DE TROYA 7);['J.J. BENITEZ'];9;False;--;--
LA CABALGATA DE LOS MENDIGOS;['NANCY KRESS'];None;False;--;--
CETAGANDA;['LOIS MCMASTER BUJOLD'];None;False;--;--
MENDIGOS II: MENDIGOS Y OPULENTOS;['NANCY KRESS'];None;False;--;--
LOS SEÑORES DE LA INSTRUMENTALIDAD III: NORSTRILIA;['CORDWAINER SMITH'];None;False;--;--
LOS SEÑORES DE LA INSTRUMENTALIDAD I: PIENSA AZUL, CUENTA HASTA D OS;['CORDWAINER SMITH'];None;False;--;--
EL JUEGO DE LOS VOR;['LOIS MCMASTER BUJOLD'];None;False;--;--
CRONOPAISAJE;['GREGORY BENFORD'];5;False;--;--
EL TRIUNFO DE LA FUNDACION;['DAVID BRIN'];None;False;--;--
EL TEMOR DE LA FUNDACION;['GREGORY BENFORD'];2;False;--;--
EL LIBRO DEL DIA DEL JUICIO FINAL;['CONNIE WILLIS'];None;False;--;--
AZOGUE II: EL REY DE LOS VAGABUNDOS;['NEAL STEPHENSON'];None;False;--;--
FRAGMENTOS DE HONOR;['LOIS MCMASTER BUJOLD'];None;False;--;--
EL SEPTIMO HIJO (ALVIN MAKER I);['ORSON SCOTT CARD'];9;False;--;--
THE RELIC (EL IDOLO PERDIDO);['DOUGLAS PRESTON'];7;False;--;--
ESFERA;['MICHAEL CRICHTON'];8;False;--;--
EL VERANO DEL PEQUEÑO SAN JOHN;['JOHN CROWLEY'];None;False;--;--
MATADRAGONES (LAS AVENTURAS DE GOTREK Y FELIX, WARHAMM);['WILLIAM KING'];None;False;--;--
CODIGO VERONICA (RESIDENT EVIL);['S.D. PERRY'];None;False;--;--
RESCATE EN EL TIEMPO;['MICHAEL CRICHTON'];7;False;--;--
LA MONTAÑA DEL ORIGEN;['DANIEL ALCOBA'];None;False;--;--
PARQUE JURASICO;['MICHAEL CRICHTON'];9;False;--;--
EL ARBOL DE LAS BRUJAS;['RAY BRADBURY'];8;False;--;--
ROBOTS E IMPERIO;['ISAAC ASIMOV'];8;False;--;--
CABALLO DE TROYA Nº 8: JORDAN;['J.J. BENITEZ'];9;False;--;--
STARDUST;['NEIL GAIMAN'];8;False;--;--
DARKOVER 6: LA CASA DE THENDARA;['MARION ZIMMER BRADLEY'];None;False;--;--
EL TESTAMENTO DE SAN JUAN;['J.J. BENITEZ'];8;False;--;--
DARKOVER 5: LA TORRE PROHIBIDA;['MARION ZIMMER BRADLEY'];None;False;--;--
LA CIUDAD AL FINAL DEL TIEMPO;['GREG BEAR'];None;False;--;--
LAS ESTRELLAS, MI DESTINO;['ALFRED BESTER'];8;False;--;--
EL LIBRO DEL DIA DEL JUICIO FINAL;['CONNIE WILLIS'];None;False;--;--
LA SOMBRA DE ENDER;['ORSON SCOTT CARD'];10;False;--;--
LA VOZ DE LOS MUERTOS (SAGA DE ENDER 12 / ENDER 4);['ORSON SCOTT CARD'];10;False;--;--
EL INVENCIBLE;['STANISLAW LEM'];6;False;--;--
COLUMNA DE FUEGO;['RAY BRADBURY'];None;False;--;--
ESTOY EN PUERTOMARTE SIN HILDA Y OTROS CUENTOS;['ISAAC ASIMOV'];8;False;--;--
LA GUERRA INTERMINABLE;['JOE HALDEMAN'];9;False;--;--
LA MANO IZQUIERDA DE LA OSCURIDAD;['URSULA K. LEGUIN'];7;False;--;--
LOS VIAJES DE TUF;['GEORGE R.R. MARTIN'];6;False;--;--
NEUROMANTE;['WILLIAM GIBSON'];7;False;--;--
FAHRENHEIT 451;['RAY BRADBURY'];8;False;--;--
SAIDAN (CABALLO DE TROYA, 3);['J.J. BENITEZ'];7;False;--;--
JERUSALEN (CABALLO DE TROYA, 1);['J.J. BENITEZ'];9;False;--;--
APOCALIPSIS MAYA;['STEVEN ALTEN'];5;False;--;--
EL TEMOR DE LA FUNDACIÓN. SEGUNDA TRILOGÍA DE LA FUNDACIÓN;['GREGORY BENFORD'];None;False;--;--
EL JARDIN DE RAMA;['ARTHUR C. CLARKE'];None;False;--;--
AZOGUE: ODALISCA (LIBRO 3) (VOL. I DEL CICLO BARROCO);['NEAL STEPHENSON'];None;False;--;--
SOLARIS;['STANISLAV LEM'];10;False;--;--
AZOGUE: LIBRO I (VOL.I DEL CICLO BARROCO);['NEAL STEPHENSON'];None;False;--;--
2012;['BRIAN D`AMATO'];6;False;--;--
LA TRANSMIGRACION DE TIMOTHY ARCHER;['PHILIP K. DICK'];None;False;--;--
HEREJES DE DUNE;['FRANK HERBERT'];7;False;--;--
BAJO LOS VIENTOS DE NEPTUNO;['FRED VARGAS'];8;False;--;--
LA RESURRECCION MAYA;['STEVE ALTEN'];5;False;--;--
PRELUDIO A LA FUNDACION;['ISAAC ASIMOV'];8;False;--;--
HACIA LA FUNDACION;['ISAAC ASIMOV'];7;False;--;--
LA SOMBRA DEL HEGEMON;['ORSON SCOTT CARD'];None;False;--;--
MARIONETAS DE LA SOMBRA: LA SAGA DE ENDER (VOL. 6);['ORSON SCOTT CARD'];None;True;Tapa blanda;7.6
MARIONETAS DE LA SOMBRA: LA SAGA DE ENDER (VOL. 6);['ORSON SCOTT CARD'];None;True;eBook;4.74
SULTANA ROJA;['ALBERTO VAZQUEZ-FIGUEROA'];None;False;--;--
LA SOMBRA DE ENDER;['ORSON SCOTT CARD'];10;False;--;--
ESTATUAS DE VENUS;['CANO FARRAGUTE'];None;True;Bolsillo;4.7
LA VOZ DE LOS MUERTOS (II PARTE DE EL JUEGO DE ENDER);['ORSON SCOTT CARD'];9;False;--;--
MUNDO ANILLO;['LARRY NIVEN'];None;False;--;--
HASTA LUEGO, Y GRACIAS POR EL PESCADO;['DOUGLAS ADAMS'];8;False;--;--
LA CONFUSION (VOL. II DEL CICLO BARROCO);['NEAL STEPHENSON'];None;False;--;--
EL TESTAMENTO MAYA;['STEVE ALTEN'];None;False;--;--
EL SECRETO DE ADAN;['GUILLERMO FERRARA'];None;False;--;--
EL PUEBLO;['ZENNA HENDERSON'];None;False;--;--
ZIGZAG (4ª ED.);['JOSE CARLOS SOMOZA'];8;False;--;--
MASADA (CABALLO DE TROYA, 2);['J.J. BENITEZ'];8;False;--;--
HERMON (CABALLO DE TROYA, 6);['J.J. BENITEZ'];9;False;--;--
CESAREA (CABALLO DE TROYA, 5);['J.J. BENITEZ'];8;False;--;--
NAZARET (CABALLO DE TROYA, 4);['J.J. BENITEZ'];7;False;--;--
TONO-BUNGAY;['H. G. WELLS'];None;False;--;--
NEXT (LIMITED 2008);['MICHAEL CRICHTON'];None;False;--;--
RAMA REVELADA;['ARTHUR C. CLARKE', 'GENTRY LEE'];None;False;--;--
EL TESTAMENTO MAYA;['STEVE ALTEN'];9;False;--;--
DUNE: LA CRUZADA DE LAS MAQUINAS;['BRIAN HERBERT', 'KEVIN J. ANDERSON'];9;False;--;--
EL MUNDO PERDIDO (PARQUE JURASICO II);['MICHAEL CRICHTON'];8;False;--;--
ALBINA Y LOS HOMBRES-PERRO;['ALEJANDRO JODOROWSKY'];None;False;--;--
ESTOY EN PUERTOMARTE SIN HILDA;['ISAAC ASIMOV'];None;False;--;--
SOY LEYENDA;['RICHARD MATHESON'];10;False;--;--
LA MAQUINA DEL TIEMPO;['HERBERT GEORGE WELLS'];8;False;--;--
DANZA DE ESPEJOS;['LOIS MCMASTER BUJOLD'];None;False;--;--
BLADE RUNNER;['PHILIP K. DICK'];10;False;--;--
WYRMS;['ORSON SCOTT CARD'];8;True;Tapa blanda;7.6
DEL FOLLETIN AL BOLSILIBRO: 50 AÑOS DE NOVELA POPULAR ESPAÑOLA (1 900-1950). CATALOGO DE LA NOVELA POPULAR ESPAÑOLA 1900-1936;['FERNANDO EGUIDAZU', 'JORGE TARANCON JIMENO'];None;False;--;--
CANCIONES PERDIDAS: LOS CUENTOS OCULTOS: MAPAS EN UN ESPEJO 5;['ORSON SCOTT CARD'];9;True;Tapa blanda;9.5
CANCIONES PERDIDAS: LOS CUENTOS OCULTOS: MAPAS EN UN ESPEJO 5;['ORSON SCOTT CARD'];9;True;eBook;4.74
DARKOVER 8: CIUDAD DE BRUJERIA;['MARION ZIMMER BRADLEY'];8;False;--;--
LOS EXPLORADORES DE PORTICO;['FREDERIK POHL'];8;False;--;--
EL RESTAURANTE DEL FIN DEL MUNDO (2ª ED.);['DOUGLAS ADAMS'];7;False;--;--
EL ENGAÑO HEMINGWAY;['JOE HALDEMAN'];8;False;--;--
DARKOVER 7: EL EXILIO DE SHARRA;['MARION ZIMMER BRADLEY'];None;False;--;--
DARKOVER I: EL SOL SANGRIENTO;['MARION ZIMMER BRADLEY'];10;False;--;--
NEMESIS;['ISAAC ASIMOV'];10;False;--;--
NECRÓPOLIS;['DAN ABNETT'];None;False;--;--
MAPAS EN UN ESPEJO 3: FABULAS Y FANTASIAS;['ORSON SCOTT CARD'];6;False;--;--
EL ENCUENTRO;['FREDERIK POHL'];9;False;--;--
RENEGADO;['CORDELL SCOTTEN'];None;False;--;--
EL ENGAÑO HEMINGWAY;['JOE HALDEMAN'];8;False;--;--
DARKOVER 7: EL EXILIO DE SHARRA;['MARION ZIMMER BRADLEY'];None;False;--;--
DARKOVER I: EL SOL SANGRIENTO;['MARION ZIMMER BRADLEY'];10;False;--;--
NEMESIS;['ISAAC ASIMOV'];10;False;--;--
NECRÓPOLIS;['DAN ABNETT'];None;False;--;--
MAPAS EN UN ESPEJO 3: FABULAS Y FANTASIAS;['ORSON SCOTT CARD'];6;False;--;--
EL ENCUENTRO;['FREDERIK POHL'];9;False;--;--
RENEGADO;['CORDELL SCOTTEN'];None;False;--;--
REFUGIO;['ROB CHILSON'];None;False;--;--
LA TIERRA SILENCIADA;['GRAHAM JOYCE'];6;False;--;--
EL MAPA DEL CIELO;['FELIX J. PALMA'];8;False;--;--
MIRANDO ATRAS;['EDWARD BELLAMY'];None;True;Tapa blanda;9.02
MIRANDO ATRAS;['EDWARD BELLAMY'];None;True;eBook;4.74
ENDER EL XENOCIDA;['ORSON SCOTT CARD'];7;False;--;--
LA VIDA, EL UNIVERSO Y TODO LO DEMAS;['DOUGLAS ADAMS'];7;False;--;--
SIEMPRE NOS QUEDARA PARIS;['RAY BRADBURY'];None;True;Tapa blanda;8.5
SIEMPRE NOS QUEDARA PARIS;['RAY BRADBURY'];None;True;eBook;4.74
ANYBODY OUT THERE?;[];None;True;Otros;2.17
LA LLAMADA DE CTHULHU Y OTROS RELATOS;[];None;True;Otros;4.07
EL AHORCADO. CUENTOS DE ESPANTO. MAPAS EN UN ESPEJO 1;['ORSON SCOTT CARD'];None;True;Tapa blanda;9.45
EL AHORCADO. CUENTOS DE ESPANTO. MAPAS EN UN ESPEJO 1;['ORSON SCOTT CARD'];None;True;eBook;3.79
FLUJO. CUENTOS SOBRE FUTUROS HUMANOS. MAPAS EN UN ESPEJO 2;['ORSON SCOTT CARD'];None;True;Tapa blanda;9.45
FLUJO. CUENTOS SOBRE FUTUROS HUMANOS. MAPAS EN UN ESPEJO 2;['ORSON SCOTT CARD'];None;True;eBook;4.74
